# type=bd_tepai
# delta=0.006135923151542565
# N_tepai=1000
# n_samples=100
# tepai_start_time=0.0
# initial_state=plus_flip
# seed=0
# overhead_final=1.0548401041842652
# gamma_final=1.0538996450461555
# expected_num_gates=2836.1487088371614
time,observable,rms_error,max_bond_dim,cost,gate_count,overhead
0.0,0.9999999999999999,0.0,1.0,9.0,0.0,1.0
0.1,1.0086272907729688,0.01018310490665118,5.81,805.82,286.27,1.0053531969709868
0.2,1.0142495755063554,0.020465367314687354,7.53,1768.62,569.99,1.0107350506597839
0.30000000000000004,0.9763717797453997,0.40178137375945305,8.18,2247.11,856.35,1.016145714471446
0.4,0.9353332134516897,0.5661777961629587,8.97,2807.55,1141.14,1.021585342632236
0.5,0.932426084732819,0.5641618209868979,9.57,3265.47,1422.48,1.0270540901940195
0.6000000000000001,0.8857202426153957,0.689338278756176,10.11,3734.94,1704.91,1.0325521130386859
0.7000000000000001,0.8756449272485715,0.6866570192272003,10.83,4359.09,1988.32,1.0380795678825907
0.8,0.822664501957646,0.7850692680308908,11.59,5120.43,2272.06,1.043636612281023
0.9,0.8063493838519697,0.7780512364990748,12.09,5727.26,2557.98,1.049223404632697
1.0,0.7887549323281927,0.7703913029625904,12.38,6214.18,2841.45,1.0548401041842652
