# type=bd_tepai
# delta=0.0030679615757712823
# N_tepai=1000
# n_samples=100
# tepai_start_time=0.0
# initial_state=plus_flip
# seed=0
# overhead_final=1.0270540256795389
# gamma_final=1.0261383460207363
# expected_num_gates=5672.230681085816
time,observable,rms_error,max_bond_dim,cost,gate_count,overhead
0.0,0.9999999999999999,0.0,1.0,9.0,0.0,1.0
0.1,1.0035484478110694,0.0050860664809351435,5.13,608.44,567.88,1.002673019653326
0.2,1.0040746511277192,0.010270107580120695,6.64,1180.58,1135.15,1.005353184340719
0.30000000000000004,1.0016864218824757,0.015617185643860918,7.44,1719.79,1701.17,1.0080405131609957
0.4,0.95621143714915,0.39713965341241747,8.07,2178.92,2270.55,1.010735025264024
0.5,0.9478954284157404,0.39471909279481815,8.56,2559.81,2835.4,1.0134367398508597
0.6000000000000001,0.935977829838089,0.3921456402703041,8.98,2878.6,3403.87,1.0161456761738836
0.7000000000000001,0.9206207829802214,0.38895106952811204,9.55,3290.82,3968.19,1.0188618535369387
0.8,0.9017422049945719,0.3844624232965078,10.25,3815.26,4536.26,1.021585291295467
0.9,0.8798240317803452,0.3798455209355143,11.17,4528.4,5105.68,1.0243160088566485
1.0,0.8561964205194085,0.3749244600094927,11.84,5193.54,5673.04,1.0270540256795389
