# type=bd_tepai
# delta=0.01227184630308513
# N_tepai=1000
# n_samples=100
# tepai_start_time=0.0
# initial_state=plus_flip
# seed=0
# overhead_final=1.1126887637087999
# gamma_final=1.1116967010626246
# expected_num_gates=1418.1410919179193
time,observable,rms_error,max_bond_dim,cost,gate_count,overhead
0.0,0.9999999999999999,0.0,1.0,9.0,0.0,1.0
0.1,1.0189565727291494,0.02053839981200845,5.94,894.75,144.12,1.0107351522442647
0.2,1.035303478994896,0.0415103018911089,7.77,1939.56,284.96,1.021585547982237
0.30000000000000004,0.9671695212539798,0.572761900380209,8.84,2681.8,428.66,1.032552424370367
0.4,0.9354453992781058,0.7010424033605809,9.73,3354.25,571.53,1.0436370318461676
0.5,0.9013924339283744,0.8087596982236077,10.49,4034.55,712.76,1.0548406342707888
0.6000000000000001,0.8640516191904546,0.9060620867613561,11.18,4746.38,853.96,1.0661645090731224
0.7000000000000001,0.8231535046276572,0.9888493537470047,11.86,5507.29,995.18,1.0776099473954543
0.8,0.778811607054629,1.0611651524985137,12.4,6112.94,1138.46,1.0891782542406785
0.9,0.7710028621070488,1.0549873417655669,12.97,6977.35,1282.82,1.100870748621095
1.0,0.7628535038616343,1.0482687839555358,13.52,7624.42,1424.19,1.1126887637087999
