# type=trotter
# N=1000
# adaptive=False
# initial_state=plus_flip
time,observable,max_bond_dim,cost,gate_count
0.0,0.9999999999999998,1.0,9.0,0.0
0.1,0.9984990735491022,3.0,167.0,4000.0
0.2,0.9939930792865725,4.0,260.0,8000.0
0.30000000000000004,0.9864711563825603,4.0,334.0,12000.0
0.4,0.9759120549809861,4.0,353.0,16000.0
0.5,0.9622804074328899,4.0,427.0,20000.0
0.6000000000000001,0.9455228981926838,5.0,488.0,24000.0
0.7000000000000001,0.925565519387427,6.0,640.0,28000.0
0.8,0.9023130852612467,8.0,1149.0,32000.0
0.9,0.8756520243091721,8.0,1210.0,36000.0
1.0,0.8454571264014203,8.0,1338.0,40000.0
