# type=bd_tepai
# delta=0.0015339807878856412
# N_tepai=1000
# n_samples=100
# tepai_start_time=0.0
# initial_state=plus_flip
# seed=0
# overhead_final=1.0134367318934994
# gamma_final=1.0125331943733764
# expected_num_gates=11344.42799399123
time,observable,rms_error,max_bond_dim,cost,gate_count,overhead
0.0,0.9999999999999999,0.0,1.0,9.0,0.0,1.0
0.1,1.0009521056240047,0.0024851829168954496,4.89,574.69,1133.17,1.0013356171028558
0.2,0.9989098635377399,0.005072615672785656,5.79,823.69,2264.76,1.002673018078757
0.30000000000000004,0.9937199813502927,0.007631525398704291,6.75,1250.27,3398.71,1.004012205310275
0.4,0.98550491650174,0.010398566089237792,7.43,1635.74,4531.75,1.0053531811831633
0.5,0.9739526009565779,0.012949640909269556,7.77,1942.66,5663.92,1.006695948086362
0.6000000000000001,0.9593436531162971,0.015260784233561352,8.22,2287.61,6799.01,1.0080405084120017
0.7000000000000001,0.9410327657504652,0.017602033834892873,8.77,2688.21,7931.28,1.0093868645554083
0.8,0.9196031465534166,0.020536189542938156,9.43,3115.32,9063.91,1.0107350189151063
0.9,0.895442963000876,0.023631996628582928,10.15,3581.67,10201.1,1.0120849738928246
1.0,0.8684983730175206,0.027312466140474646,10.87,4099.24,11335.8,1.0134367318934994
