# type=trotter
# N=1000
# adaptive=False
# initial_state=plus_flip
time,observable,max_bond_dim,cost,gate_count
0.0,0.9999999999999998,1.0,19.0,0.0
0.1,0.998439715032077,5.0,1065.0,4000.0
0.2,0.9930600891385915,8.0,3417.0,8000.0
0.30000000000000004,0.9821419988777791,10.0,8285.0,12000.0
0.4,0.9638591324531038,16.0,28597.0,16000.0
0.5,0.9370426569801824,16.0,49344.0,20000.0
0.6000000000000001,0.9013812473973692,16.0,52974.0,24000.0
0.7000000000000001,0.8573299196552366,16.0,54416.0,28000.0
0.8,0.8063722838784426,16.0,54416.0,32000.0
0.9,0.7518220473871606,16.0,54416.0,36000.0
1.0,0.6994340733650579,16.0,54416.0,40000.0
1.1,0.6565911733678873,16.0,54416.0,44000.0
1.2000000000000002,0.6295393726468224,16.0,54416.0,48000.0
