# type=trotter
# N=1000
# adaptive=False
# initial_state=plus_flip
time,observable,max_bond_dim,cost,gate_count
0.0,0.9999999999999998,1.0,19.0,0.0
0.1,0.9984369116621536,4.0,697.0,8000.0
0.2,0.9930386219942879,7.0,1783.0,16000.0
0.30000000000000004,0.982075324873739,9.0,5175.0,24000.0
0.4,0.9637162151987488,16.0,23460.0,32000.0
0.5,0.9367901904339266,16.0,42943.0,40000.0
0.6000000000000001,0.900981954294318,16.0,51712.0,48000.0
0.7000000000000001,0.8567439625834261,16.0,53695.0,56000.0
0.8,0.8055726458655097,16.0,54416.0,64000.0
0.9,0.750825024717579,16.0,54416.0,72000.0
1.0,0.6983048930033733,16.0,54416.0,80000.0
