# type=trotter
# N=100
# adaptive=False
# initial_state=plus_flip
time,observable,max_bond_dim,cost,gate_count
0.0,0.9999999999999998,1.0,19.0,0.0
0.1,0.9984604831122867,7.0,1979.0,800.0
0.2,0.9932241541009663,10.0,5446.0,1600.0
0.30000000000000004,0.982655045821343,13.0,17003.0,2400.0
0.4,0.964961430749411,16.0,44024.0,3200.0
0.5,0.9389970752841847,16.0,52343.0,4000.0
0.6000000000000001,0.9044941695470652,16.0,54416.0,4800.0
0.7000000000000001,0.8619417313187627,16.0,54416.0,5600.0
0.8,0.8127417407165449,16.0,54416.0,6400.0
0.9,0.7598990620963217,16.0,54416.0,7200.0
1.0,0.7086136532914216,16.0,54416.0,8000.0
