# type=tepai_st
# delta=0.0007669903939428206
# N_tepai=500
# n_samples=100
# tepai_start_time=0.0
# initial_state=plus_flip
# seed=0
# overhead_final=1.8660284494690051
# gamma_final=1.0067015667654071
# expected_num_gates=2120821.897591865
time,observable,rms_error,gate_count,overhead
0.0,0.9999999999999999,0.2617718216252808,49.0,1.0
0.1,0.9984713399750423,0.2602434107454128,12901.44,1.0252664130014353
0.2,0.9904065025287464,0.25218032357795983,22657.42,1.0511712176288297
0.30000000000000004,0.9517903894778551,0.28781220631888776,23017.11,1.0777305437486615
0.4,0.924599634880949,0.2643009551154432,23106.26,1.1049609287712767
0.5,0.8992702901927511,0.24358226564643096,23177.24,1.1328793279480613
0.6000000000000001,0.8810501923740549,0.2293254703905718,23184.0,1.1615031249287855
0.7000000000000001,0.8632651702786793,0.21582217512663318,23184.0,1.1908501425856939
0.8,0.8419877624172558,0.20031431961549503,23184.0,1.2209386541110823
0.9,0.8259318419303371,0.19043163039791922,23184.0,1.2517873943952695
1.0,0.8221227528124686,0.18846961678927626,23184.0,1.283415571692051
1.1,0.8167983750917892,0.18493475105170679,23184.0,1.3158428795788957
1.2000000000000002,0.7927232406975675,0.16996877770295168,23184.0,1.349089509219334
1.3,0.7590158636283261,0.15596394670821315,23184.0,1.3831761619351732
1.4000000000000001,0.7351319580587352,0.15179657152072987,23184.0,1.4181240620963678
1.5,0.7248545738353879,0.15113452223689122,23184.0,1.4539549703365677
1.6,0.7160113434664908,0.14882613869104325,23184.0,1.4906911971025811
1.7000000000000002,0.7075608543125018,0.14338483187807552,23182.31,1.528355616546179
1.8,0.699934003222027,0.201549449423849,23181.04,1.5669716807668979
1.9000000000000001,0.7255126993658777,0.2025758562648774,23177.71,1.6065634344147077
2.0,0.7511063811501834,0.2092675564089843,23164.54,1.6471555296616343
2.1,0.7567479081749545,0.2137772920149843,23145.98,1.688773241551663
2.2,0.7405658420284361,0.2107558532629188,23141.2,1.7314424837384799
2.3000000000000003,0.71917320824402,0.2047927475718645,23132.62,1.7751898246208477
2.4000000000000004,0.7068726479611462,0.20186114495380866,23111.87,1.8200425038856636
2.5,0.7025718689306316,0.20319112706423278,23100.32,1.8660284494690051
