# type=trotter
# N=20
# adaptive=True
# initial_state=plus_flip
time,observable,max_bond_dim,gate_count
0.0,0.9999999999999998,1.0,0.0
0.1,0.9984991660690703,2.0,1600.0
0.2,0.9939931460541716,4.0,6400.0
0.30000000000000004,0.9864718505459984,4.0,14400.0
0.4,0.9759198205710606,4.0,25600.0
0.5,0.9623181347531364,4.0,40000.0
0.6000000000000001,0.9456470199868017,4.0,57600.0
0.7000000000000001,0.9258890935900301,5.0,78400.0
0.8,0.9030331290807632,5.0,102400.0
0.9,0.8770782267270336,5.0,129600.0
1.0,0.8480382423254311,6.0,160000.0
1.1,0.8159464198356701,6.0,193600.0
1.2000000000000002,0.7808598060597944,6.0,230400.0
1.3,0.742863382642746,6.0,270400.0
1.4000000000000001,0.7020737286269909,6.0,313600.0
1.5,0.6586420142908587,6.0,360000.0
1.6,0.6127562033386926,7.0,409600.0
1.7000000000000002,0.5646425150834211,7.0,462400.0
1.8,0.5145652413860176,7.0,518400.0
1.9000000000000001,0.4628255595935289,7.0,577600.0
2.0,0.4097593236733772,7.0,640000.0
2.1,0.3557339064150893,7.0,705600.0
2.2,0.3011430785899978,7.0,774400.0
2.3000000000000003,0.24640382486463852,7.0,846400.0
2.4000000000000004,0.19194660765580518,7.0,921600.0
2.5,0.13820787244272426,7.0,1000000.0
2.6,0.0856230310782582,7.0,1081600.0
2.7,0.03461844277973736,7.0,1166400.0
2.8000000000000003,-0.014396556972652852,7.0,1254400.0
2.9000000000000004,-0.06103731147554914,7.0,1345600.0
3.0,-0.10495092822290819,7.0,1440000.0
3.1,-0.14582256046436903,7.0,1537600.0
3.2,-0.1833806770541897,7.0,1638400.0
3.3000000000000003,-0.2174003013598007,7.0,1742400.0
3.4000000000000004,-0.24770282197661198,7.0,1849600.0
3.5,-0.27416411825237064,7.0,1960000.0
3.6,-0.2967125016174075,7.0,2073600.0
3.7,-0.31532714015263497,7.0,2190400.0
3.8000000000000003,-0.33003360867611076,7.0,2310400.0
3.9000000000000004,-0.3408973546672517,7.0,2433600.0
4.0,-0.3480294334349976,7.0,2560000.0
4.1000000000000005,-0.3515795353706047,7.0,2689600.0
4.2,-0.351727354076224,7.0,2822400.0
4.3,-0.34867844725605424,7.0,2958400.0
4.4,-0.3426512108333408,7.0,3097600.0
4.5,-0.33388759622632547,7.0,3240000.0
4.6000000000000005,-0.32264238847721294,7.0,3385600.0
4.7,-0.3091770178712385,7.0,3534400.0
4.800000000000001,-0.2937504467861385,7.0,3686400.0
4.9,-0.2766243762545315,7.0,3841600.0
5.0,-0.2580595607792713,7.0,4000000.0
5.1000000000000005,-0.2383111002058853,7.0,4161600.0
5.2,-0.21762670725560784,7.0,4326400.0
5.300000000000001,-0.19624553041002368,7.0,4494400.0
5.4,-0.1743974575887548,7.0,4665600.0
5.5,-0.15230273449095755,7.0,4840000.0
5.6000000000000005,-0.13017184658328895,7.0,5017600.0
5.7,-0.1082055587259858,7.0,5198400.0
5.800000000000001,-0.08659498843830404,8.0,5382400.0
5.9,-0.06552162243566861,8.0,5569600.0
6.0,-0.04515722391529575,8.0,5760000.0
6.1000000000000005,-0.025663615625356462,9.0,5953600.0
6.2,-0.007192288506765232,9.0,6150400.0
6.300000000000001,0.010118049895027736,9.0,6350400.0
6.4,0.0261421979342904,9.0,6553600.0
6.5,0.04076315333482472,9.0,6760000.0
6.6000000000000005,0.05387595682044055,9.0,6969600.0
6.7,0.06538945003855878,9.0,7182400.0
6.800000000000001,0.07522735442926076,9.0,7398400.0
6.9,0.08332980958762759,8.0,7617600.0
7.0,0.08965469576548091,9.0,7840000.0
7.1000000000000005,0.09417841596446386,9.0,8065600.0
7.2,0.09689659415793361,9.0,8294400.0
7.300000000000001,0.09782446754725105,9.0,8526400.0
7.4,0.09699702051689463,9.0,8761600.0
7.5,0.09446886021653222,9.0,9000000.0
7.6000000000000005,0.09031383956358074,9.0,9241600.0
7.7,0.08462443129336661,8.0,9486400.0
7.800000000000001,0.07751082680553112,8.0,9734400.0
7.9,0.06909971465837028,8.0,9985600.0
8.0,0.05953271463622434,8.0,10240000.0
8.1,0.048964498258486255,8.0,10497600.0
8.200000000000001,0.03756065410670373,8.0,10758400.0
8.3,0.025495362964795598,8.0,11022400.0
8.4,0.012948973256249996,8.0,11289600.0
8.5,0.00010553887957365227,8.0,11560000.0
8.6,-0.012849639208863395,8.0,11833600.0
8.700000000000001,-0.02573254041131423,8.0,12110400.0
8.8,-0.038362972782352234,8.0,12390400.0
8.9,-0.05056710676200049,8.0,12673600.0
9.0,-0.06217994154534057,8.0,12960000.0
9.1,-0.07304757233567416,8.0,13249600.0
9.200000000000001,-0.08302912267675444,8.0,13542400.0
9.3,-0.0919983232092424,8.0,13838400.0
9.4,-0.0998448260931194,8.0,14137600.0
9.5,-0.10647532277871419,8.0,14440000.0
9.600000000000001,-0.11181460379041397,8.0,14745600.0
9.700000000000001,-0.11580653734778767,8.0,15054400.0
9.8,-0.11841301454829622,8.0,15366400.0
9.9,-0.11961463695308927,8.0,15681600.0
10.0,-0.11941061376064777,8.0,16000000.0
