# type=tepai
# delta=0.0030679615757712823
# N_tepai=50
# n_samples=1
# tepai_start_time=1.0
# initial_state=plus_flip
# seed=0
# overhead_final=1.6694197556645574
# gamma_final=1.2056667476131493
# expected_num_gates=108894.30178298178
time,observable,rms_error,max_bond_dim,gate_count,overhead
1.0,0.8545542714792962,5.773159728050814e-15,6.0,800000.0,1.0
1.1,0.8406566978880625,0.015972842283018984,9.0,805043.0,1.025954917492888
1.2,0.8138583041338621,0.021788091573863633,11.0,810088.0,1.0525834927278381
1.3,0.791816272769436,0.03513095836303837,12.0,815097.0,1.079903210435965
1.4,0.7805190641096382,0.06202234448540811,12.0,820193.0,1.1079320091631353
1.5,0.755676740205331,0.07820089750849446,14.0,825233.0,1.136688293048694
1.6,0.7176246227306722,0.08401656199098628,15.0,830199.0,1.166190943909904
1.7000000000000002,0.6791151308754069,0.09221101019506261,16.0,835260.0,1.1964593336400386
1.8,0.6475778961991836,0.11016599885221345,16.0,840231.0,1.2275133369282614
1.9,0.5720660310223706,0.08683757699254102,16.0,845289.0,1.2593733443096538
2.0,0.5337606589738537,0.10324963549425492,16.0,850375.0,1.2920602755539532
2.1,0.4867868423242623,0.11330075007082274,16.0,855439.0,1.325595593401794
2.2,0.4520998226624082,0.13764376354293417,16.0,860477.0,1.3600013176574732
2.3,0.4027754628221756,0.14897278291658095,16.0,865458.0,1.3953000396474917
2.4000000000000004,0.364309485475943,0.1723247799849119,16.0,870420.0,1.4315149370543656
2.5,0.29971156275466115,0.17017852319082927,16.0,875443.0,1.468669789135448
2.6,0.26111841909941913,0.194071583315802,16.0,880483.0,1.5067889923367557
2.7,0.1868017641425639,0.1816244022822051,16.0,885456.0,1.5458975763120477
2.8,0.12802853081416243,0.18341121349191464,16.0,890579.0,1.586021220357682
2.9000000000000004,0.06761066175082453,0.18153150269457097,16.0,895640.0,1.627186270274035
3.0,0.014618362215972125,0.18434109755527905,16.0,900690.0,1.6694197556645574
