# type=tepai
# delta=0.0030679615757712823
# N_tepai=50
# n_samples=1
# tepai_start_time=0.0
# initial_state=plus_flip
# seed=0
# overhead_final=2.156990949519161
# gamma_final=1.323856538663542
# expected_num_gates=163341.45267447268
time,observable,rms_error,max_bond_dim,gate_count,overhead
0.0,0.9999999999999998,0.0,1.0,0.0,1.0
0.1,1.0169967606903403,0.01849669883744287,5.0,5043.0,1.025954917492888
0.2,1.0287588791769982,0.034750782012015424,8.0,10088.0,1.0525834927278381
0.30000000000000004,1.0383725230414695,0.05182560259349911,8.0,15097.0,1.079903210435965
0.4,1.0498564879371752,0.07370472982856979,8.0,20193.0,1.1079320091631353
0.5,1.0547690575324826,0.0919028745441075,10.0,25233.0,1.136688293048694
0.6000000000000001,1.0524199103001606,0.10568276465837823,11.0,30199.0,1.166190943909904
0.7000000000000001,1.0494363603395285,0.12162673882121089,10.0,35260.0,1.1964593336400386
0.8,1.0473389285034544,0.14121747474316937,12.0,40231.0,1.2275133369282614
0.9,1.0193707784968677,0.13767176980205953,12.0,45289.0,1.2593733443096538
1.0,1.012526047504573,0.15797177602528256,13.0,50375.0,1.2920602755539532
1.1,0.9968547120380973,0.17217085643305374,15.0,55439.0,1.325595593401794
1.2000000000000002,0.9920387407601741,0.19996852820017574,16.0,60477.0,1.3600013176574732
1.3,0.9735632541907637,0.2168779397843661,16.0,65458.0,1.3953000396474917
1.4000000000000001,0.9623831029329932,0.24388638330876322,16.0,70420.0,1.4315149370543656
1.5,0.9289569985769828,0.2514811558801462,16.0,75443.0,1.468669789135448
1.6,0.9159175630532497,0.2823095023135638,16.0,80483.0,1.5067889923367557
1.7000000000000002,0.8733189905965333,0.28641486991618903,16.0,85456.0,1.5458975763120477
1.8,0.8378544100708953,0.3004425127239252,16.0,90579.0,1.586021220357682
1.9000000000000001,0.7970293950197465,0.31180094098991695,16.0,95640.0,1.627186270274035
2.0,0.7586680470478464,0.3281570235682476,16.0,100690.0,1.6694197556645574
2.1,0.7127908038820441,0.33930471162860454,16.0,105703.0,1.712749407683828
2.2,0.6547007137559053,0.3402446546364313,16.0,110719.0,1.7572036772462543
2.3000000000000003,0.5903768003037482,0.3365741203981538,16.0,115776.0,1.80281175370738
2.4000000000000004,0.5135189448587083,0.3215342393676772,16.0,120755.0,1.8496035840300635
2.5,0.43611907881754197,0.3065860392537101,16.0,125751.0,1.8976098924481133
2.6,0.3486518943013248,0.2816050585177077,16.0,130740.0,1.946862200640292
2.7,0.2851871267030017,0.28000976484264295,16.0,135727.0,1.997392848427933
2.8000000000000003,0.22673400132782362,0.2821166840055761,16.0,140742.0,2.049235015009764
2.9000000000000004,0.17375340975953124,0.2876742507032777,16.0,145734.0,2.102422740747879
3.0,0.12586736619373307,0.29559010153304,16.0,150699.0,2.156990949519161
