# type=tepai
# delta=0.0030679615757712823
# N_tepai=50
# n_samples=1
# tepai_start_time=2.0
# initial_state=plus_flip
# seed=0
# overhead_final=1.2920602755539532
# gamma_final=1.098028573222549
# expected_num_gates=54447.15089149089
time,observable,rms_error,max_bond_dim,gate_count,overhead
2.0,0.4305110234796867,8.79296635503124e-14,8.0,3200000.0,1.0
2.1,0.38817439893035033,0.01468830667691079,16.0,3205043.0,1.025954917492888
2.2,0.32825195453581957,0.013795895416345516,16.0,3210088.0,1.0525834927278381
2.3,0.27229783633893234,0.01849515643333771,16.0,3215097.0,1.079903210435965
2.4,0.2346590114281042,0.04267430593707283,16.0,3220193.0,1.1079320091631353
2.5,0.18663145620236277,0.05709841663853088,16.0,3225233.0,1.136688293048694
2.6,0.121471115016617,0.05442427923299986,16.0,3230199.0,1.166190943909904
2.7,0.061504545481783746,0.05632718362142497,16.0,3235260.0,1.1964593336400386
2.8,0.008996153001064489,0.06437883567881669,16.0,3240231.0,1.2275133369282614
2.9,-0.07497481145191365,0.038946029491832526,16.0,3245289.0,1.2593733443096538
3.0,-0.12510945458282874,0.04461328075647819,16.0,3250375.0,1.2920602755539532
