# type=trotter
# N=1000
# adaptive=False
# initial_state=plus_flip
time,observable,max_bond_dim,cost,gate_count
0.0,0.9999999999999998,1.0,19.0,0.0
0.1,0.9980299820258383,2.0,145.0,4000.0
0.2,0.9921759512384813,2.0,145.0,8000.0
0.30000000000000004,0.9807026367331559,2.0,145.0,12000.0
0.4,0.9618268739374152,2.0,145.0,16000.0
0.5,0.9341010609500522,2.0,145.0,20000.0
0.6000000000000001,0.8971426317067857,2.0,145.0,24000.0
0.7000000000000001,0.8517283943736416,2.0,145.0,28000.0
0.8,0.7989254625971611,2.0,145.0,32000.0
0.9,0.7407517912391213,2.0,145.0,36000.0
1.0,0.6808524711938118,2.0,145.0,40000.0
1.1,0.6248385190473815,2.0,145.0,44000.0
1.2000000000000002,0.579995014298865,2.0,145.0,48000.0
