# type=tepai
# delta=0.0007669903939428206
# N_tepai=300
# n_samples=1000
# tepai_start_time=0.0
# initial_state=plus_flip
# seed=0
# overhead_final=1.0679697049065693
# gamma_final=1.0187327389951508
# expected_num_gates=372611.84007531253
time,observable,rms_error,max_bond_dim,cost,gate_count,overhead
0.0,0.9999999999999999,0.0,1.0,19.0,0.0,1.0
0.1,1.0001011141195675,0.001689933723628886,2.0,145.0,18629.996,1.0054949902073103
0.2,0.9963097394418731,0.0033617571158947638,2.0,145.014,37262.932,1.011020175331999
0.30000000000000004,0.98691321970729,0.00497560451608788,2.0,145.007,55893.137,1.0165757212948416
0.4,0.9700199688911526,0.006488197845227314,2.0,145.007,74522.239,1.0221617949283461
0.5,0.9442962136158165,0.0077578524549149356,2.0,145.021,93151.945,1.027778563981764
0.6000000000000001,0.9093037497027477,0.008762016426506397,2.0,145.007,111780.304,1.0334261971261274
0.7000000000000001,0.8614350586754731,0.11807910482984513,2.0,145.042,130408.997,1.0391048639593132
0.8,0.8097652998782414,0.11486426256322145,2.0,145.021,149040.354,1.044814735011138
0.9,0.7495962057635819,0.15739838928489477,2.0,145.014,167666.999,1.0505559817484778
1.0,0.6932412566290994,0.15288022551464023,2.0,145.014,186297.268,1.056328776580417
1.1,0.6455975042614154,0.14906076838872792,2.0,145.007,204928.71,1.0621332928634264
1.2000000000000002,0.6155225709321911,0.14687578052246802,2.0,145.007,223557.046,1.0679697049065693
